label_raw,response_value
Achievement-striving,5.0
Activity Level,4.75
Adventurousness,1.75
Altruism,5.0
Anger,1.0
Anxiety,1.25
Artistic Interests,5.0
Assertiveness,5.0
Cautiousness,5.0
Cheerfulness,3.75
Cooperation,5.0
Depression,1.0
Dutifulness,5.0
Emotionality,3.75
Excitement-seeking,1.0
Friendliness,4.25
Gregariousness,3.25
Imagination,2.0
Immoderation,1.0
Intellect,5.0
Liberalism,2.0
Modesty,4.0
Morality,5.0
Orderliness,5.0
Self-consciousness,2.0
Self-discipline,5.0
Self-efficacy,5.0
Sympathy,5.0
Trust,4.5
Vulnerability,1.0
